Command line: ['16.py']
Total duration: 23.3386s
File: 16.py
File duration: 23.3381s (100.00%)
Line #|      Hits|         Time| Time per hit|      %|Source code
   840|         0|            0|            0|  0.00%|        return self.writer.write(data)
   841|         0|            0|            0|  0.00%|
   842|         0|            0|            0|  0.00%|    def reset(self):
   843|         0|            0|            0|  0.00%|
   844|         0|            0|            0|  0.00%|        self.reader.reset()
   845|         0|            0|            0|  0.00%|        self.writer.reset()
   846|         0|            0|            0|  0.00%|
   847|         0|            0|            0|  0.00%|    def __getattr__(self, name,
   848|         0|            0|            0|  0.00%|                    getattr=getattr):
   849|         0|            0|            0|  0.00%|
   850|         0|            0|            0|  0.00%|        """ Inherit all other methods from the underlying stream.
   851|         0|            0|            0|  0.00%|        """
   852|         0|            0|            0|  0.00%|        return getattr(self.stream, name)
   853|         0|            0|            0|  0.00%|
   854|         0|            0|            0|  0.00%|    def __enter__(self):
   855|         0|            0|            0|  0.00%|        return self
   856|         0|            0|            0|  0.00%|
   857|         0|            0|            0|  0.00%|    def __exit__(self, type, value, tb):
   858|         0|            0|            0|  0.00%|        self.stream.close()
   859|         0|            0|            0|  0.00%|
   860|         0|            0|            0|  0.00%|### Shortcuts
   861|         0|            0|            0|  0.00%|
   862|         0|            0|            0|  0.00%|def open(filename, mode='r', encoding=None, errors='strict', buffering=1):
   863|         0|            0|            0|  0.00%|
   864|         0|            0|            0|  0.00%|    """ Open an encoded file using the given mode and return
   865|         0|            0|            0|  0.00%|        a wrapped version providing transparent encoding/decoding.
   866|         0|            0|            0|  0.00%|
   867|         0|            0|            0|  0.00%|        Note: The wrapped version will only accept the object format
   868|         0|            0|            0|  0.00%|        defined by the codecs, i.e. Unicode objects for most builtin
   869|         0|            0|            0|  0.00%|        codecs. Output is also codec dependent and will usually be
   870|         0|            0|            0|  0.00%|        Unicode as well.
   871|         0|            0|            0|  0.00%|
   872|         0|            0|            0|  0.00%|        Underlying encoded files are always opened in binary mode.
   873|         0|            0|            0|  0.00%|        The default file mode is 'r', meaning to open the file in read mode.
   874|         0|            0|            0|  0.00%|
   875|         0|            0|            0|  0.00%|        encoding specifies the encoding which is to be used for the
   876|         0|            0|            0|  0.00%|        file.
   877|         0|            0|            0|  0.00%|
   878|         0|            0|            0|  0.00%|        errors may be given to define the error handling. It defaults
   879|         0|            0|            0|  0.00%|        to 'strict' which causes ValueErrors to be raised in case an
   880|         0|            0|            0|  0.00%|        encoding error occurs.
   881|         0|            0|            0|  0.00%|
   882|         0|            0|            0|  0.00%|        buffering has the same meaning as for the builtin open() API.
   883|         0|            0|            0|  0.00%|        It defaults to line buffered.
   884|         0|            0|            0|  0.00%|
   885|         0|            0|            0|  0.00%|        The returned wrapped file object provides an extra attribute
   886|         0|            0|            0|  0.00%|        .encoding which allows querying the used encoding. This
   887|         0|            0|            0|  0.00%|        attribute is only available if an encoding was specified as
   888|         0|            0|            0|  0.00%|        parameter.
   889|         0|            0|            0|  0.00%|
   890|         0|            0|            0|  0.00%|    """
   891|         0|            0|            0|  0.00%|    if encoding is not None and \
   892|         0|            0|            0|  0.00%|       'b' not in mode:
   893|         0|            0|            0|  0.00%|        # Force opening of the file in binary mode
   894|         0|            0|            0|  0.00%|        mode = mode + 'b'
   895|         0|            0|            0|  0.00%|    file = builtins.open(filename, mode, buffering)
   896|         0|            0|            0|  0.00%|    if encoding is None:
   897|         0|            0|            0|  0.00%|        return file
   898|         0|            0|            0|  0.00%|    info = lookup(encoding)
   899|         0|            0|            0|  0.00%|    srw = StreamReaderWriter(file, info.streamreader, info.streamwriter, errors)
   900|         0|            0|            0|  0.00%|    # Add attributes to simplify introspection
   901|         0|            0|            0|  0.00%|    srw.encoding = encoding
   902|         0|            0|            0|  0.00%|    return srw
   903|         0|            0|            0|  0.00%|
   904|         0|            0|            0|  0.00%|def EncodedFile(file, data_encoding, file_encoding=None, errors='strict'):
   905|         0|            0|            0|  0.00%|
   906|         0|            0|            0|  0.00%|    """ Return a wrapped version of file which provides transparent
   907|         0|            0|            0|  0.00%|        encoding translation.
   908|         0|            0|            0|  0.00%|
   909|         0|            0|            0|  0.00%|        Data written to the wrapped file is decoded according
   910|         0|            0|            0|  0.00%|        to the given data_encoding and then encoded to the underlying
   911|         0|            0|            0|  0.00%|        file using file_encoding. The intermediate data type
   912|         0|            0|            0|  0.00%|        will usually be Unicode but depends on the specified codecs.
   913|         0|            0|            0|  0.00%|
   914|         0|            0|            0|  0.00%|        Bytes read from the file are decoded using file_encoding and then
   915|         0|            0|            0|  0.00%|        passed back to the caller encoded using data_encoding.
   916|         0|            0|            0|  0.00%|
   917|         0|            0|            0|  0.00%|        If file_encoding is not given, it defaults to data_encoding.
   918|         0|            0|            0|  0.00%|
   919|         0|            0|            0|  0.00%|        errors may be given to define the error handling. It defaults
   920|         0|            0|            0|  0.00%|        to 'strict' which causes ValueErrors to be raised in case an
   921|         0|            0|            0|  0.00%|        encoding error occurs.
   922|         0|            0|            0|  0.00%|
   923|         0|            0|            0|  0.00%|        The returned wrapped file object provides two extra attributes
   924|         0|            0|            0|  0.00%|        .data_encoding and .file_encoding which reflect the given
   925|         0|            0|            0|  0.00%|        parameters of the same name. The attributes can be used for
   926|         0|            0|            0|  0.00%|        introspection by Python programs.
   927|         0|            0|            0|  0.00%|
   928|         0|            0|            0|  0.00%|    """
   929|         0|            0|            0|  0.00%|    if file_encoding is None:
   930|         0|            0|            0|  0.00%|        file_encoding = data_encoding
   931|         0|            0|            0|  0.00%|    data_info = lookup(data_encoding)
   932|         0|            0|            0|  0.00%|    file_info = lookup(file_encoding)
   933|         0|            0|            0|  0.00%|    sr = StreamRecoder(file, data_info.encode, data_info.decode,
   934|         0|            0|            0|  0.00%|                       file_info.streamreader, file_info.streamwriter, errors)
   935|         0|            0|            0|  0.00%|    # Add attributes to simplify introspection
   936|         0|            0|            0|  0.00%|    sr.data_encoding = data_encoding
   937|         0|            0|            0|  0.00%|    sr.file_encoding = file_encoding
   938|         0|            0|            0|  0.00%|    return sr
   939|         0|            0|            0|  0.00%|
   940|         0|            0|            0|  0.00%|### Helpers for codec lookup
   941|         0|            0|            0|  0.00%|
   942|         0|            0|            0|  0.00%|def getencoder(encoding):
   943|         0|            0|            0|  0.00%|
   944|         0|            0|            0|  0.00%|    """ Lookup up the codec for the given encoding and return
   945|         0|            0|            0|  0.00%|        its encoder function.
   946|         0|            0|            0|  0.00%|
   947|         0|            0|            0|  0.00%|        Raises a LookupError in case the encoding cannot be found.
   948|         0|            0|            0|  0.00%|
   949|         0|            0|            0|  0.00%|    """
   950|         0|            0|            0|  0.00%|    return lookup(encoding).encode
   951|         0|            0|            0|  0.00%|
   952|         0|            0|            0|  0.00%|def getdecoder(encoding):
   953|         0|            0|            0|  0.00%|
   954|         0|            0|            0|  0.00%|    """ Lookup up the codec for the given encoding and return
   955|         0|            0|            0|  0.00%|        its decoder function.
   956|         0|            0|            0|  0.00%|
   957|         0|            0|            0|  0.00%|        Raises a LookupError in case the encoding cannot be found.
   958|         0|            0|            0|  0.00%|
   959|         0|            0|            0|  0.00%|    """
   960|         0|            0|            0|  0.00%|    return lookup(encoding).decode
   961|         0|            0|            0|  0.00%|
   962|         0|            0|            0|  0.00%|def getincrementalencoder(encoding):
   963|         0|            0|            0|  0.00%|
   964|         0|            0|            0|  0.00%|    """ Lookup up the codec for the given encoding and return
   965|         0|            0|            0|  0.00%|        its IncrementalEncoder class or factory function.
   966|         0|            0|            0|  0.00%|
   967|         0|            0|            0|  0.00%|        Raises a LookupError in case the encoding cannot be found
   968|         0|            0|            0|  0.00%|        or the codecs doesn't provide an incremental encoder.
   969|         0|            0|            0|  0.00%|
   970|         0|            0|            0|  0.00%|    """
   971|         0|            0|            0|  0.00%|    encoder = lookup(encoding).incrementalencoder
   972|         0|            0|            0|  0.00%|    if encoder is None:
   973|         0|            0|            0|  0.00%|        raise LookupError(encoding)
   974|         0|            0|            0|  0.00%|    return encoder
   975|         0|            0|            0|  0.00%|
   976|         0|            0|            0|  0.00%|def getincrementaldecoder(encoding):
   977|         0|            0|            0|  0.00%|
   978|         0|            0|            0|  0.00%|    """ Lookup up the codec for the given encoding and return
   979|         0|            0|            0|  0.00%|        its IncrementalDecoder class or factory function.
   980|         0|            0|            0|  0.00%|
   981|         0|            0|            0|  0.00%|        Raises a LookupError in case the encoding cannot be found
   982|         0|            0|            0|  0.00%|        or the codecs doesn't provide an incremental decoder.
   983|         0|            0|            0|  0.00%|
   984|         0|            0|            0|  0.00%|    """
   985|         0|            0|            0|  0.00%|    decoder = lookup(encoding).incrementaldecoder
   986|         0|            0|            0|  0.00%|    if decoder is None:
   987|         0|            0|            0|  0.00%|        raise LookupError(encoding)
   988|         0|            0|            0|  0.00%|    return decoder
   989|         0|            0|            0|  0.00%|
   990|         0|            0|            0|  0.00%|def getreader(encoding):
   991|         0|            0|            0|  0.00%|
   992|         0|            0|            0|  0.00%|    """ Lookup up the codec for the given encoding and return
   993|         0|            0|            0|  0.00%|        its StreamReader class or factory function.
   994|         0|            0|            0|  0.00%|
   995|         0|            0|            0|  0.00%|        Raises a LookupError in case the encoding cannot be found.
   996|         0|            0|            0|  0.00%|
   997|         0|            0|            0|  0.00%|    """
   998|         0|            0|            0|  0.00%|    return lookup(encoding).streamreader
   999|         0|            0|            0|  0.00%|
  1000|         0|            0|            0|  0.00%|def getwriter(encoding):
  1001|         0|            0|            0|  0.00%|
  1002|         0|            0|            0|  0.00%|    """ Lookup up the codec for the given encoding and return
  1003|         0|            0|            0|  0.00%|        its StreamWriter class or factory function.
  1004|         0|            0|            0|  0.00%|
  1005|         0|            0|            0|  0.00%|        Raises a LookupError in case the encoding cannot be found.
  1006|         0|            0|            0|  0.00%|
  1007|         0|            0|            0|  0.00%|    """
  1008|         0|            0|            0|  0.00%|    return lookup(encoding).streamwriter
  1009|         0|            0|            0|  0.00%|
  1010|         0|            0|            0|  0.00%|def iterencode(iterator, encoding, errors='strict', **kwargs):
  1011|         0|            0|            0|  0.00%|    """
  1012|         0|            0|            0|  0.00%|    Encoding iterator.
  1013|         0|            0|            0|  0.00%|
  1014|         0|            0|            0|  0.00%|    Encodes the input strings from the iterator using an IncrementalEncoder.
  1015|         0|            0|            0|  0.00%|
  1016|         0|            0|            0|  0.00%|    errors and kwargs are passed through to the IncrementalEncoder
  1017|         0|            0|            0|  0.00%|    constructor.
  1018|         0|            0|            0|  0.00%|    """
  1019|         0|            0|            0|  0.00%|    encoder = getincrementalencoder(encoding)(errors, **kwargs)
  1020|         0|            0|            0|  0.00%|    for input in iterator:
  1021|         0|            0|            0|  0.00%|        output = encoder.encode(input)
  1022|         0|            0|            0|  0.00%|        if output:
  1023|         0|            0|            0|  0.00%|            yield output
  1024|         0|            0|            0|  0.00%|    output = encoder.encode("", True)
  1025|         0|            0|            0|  0.00%|    if output:
  1026|         0|            0|            0|  0.00%|        yield output
  1027|         0|            0|            0|  0.00%|
  1028|         0|            0|            0|  0.00%|def iterdecode(iterator, encoding, errors='strict', **kwargs):
  1029|         0|            0|            0|  0.00%|    """
  1030|         0|            0|            0|  0.00%|    Decoding iterator.
  1031|         0|            0|            0|  0.00%|
  1032|         0|            0|            0|  0.00%|    Decodes the input strings from the iterator using an IncrementalDecoder.
  1033|         0|            0|            0|  0.00%|
  1034|         0|            0|            0|  0.00%|    errors and kwargs are passed through to the IncrementalDecoder
  1035|         0|            0|            0|  0.00%|    constructor.
  1036|         0|            0|            0|  0.00%|    """
  1037|         0|            0|            0|  0.00%|    decoder = getincrementaldecoder(encoding)(errors, **kwargs)
  1038|         0|            0|            0|  0.00%|    for input in iterator:
  1039|         0|            0|            0|  0.00%|        output = decoder.decode(input)
  1040|         0|            0|            0|  0.00%|        if output:
  1041|         0|            0|            0|  0.00%|            yield output
  1042|         0|            0|            0|  0.00%|    output = decoder.decode(b"", True)
  1043|         0|            0|            0|  0.00%|    if output:
  1044|         0|            0|            0|  0.00%|        yield output
  1045|         0|            0|            0|  0.00%|
  1046|         0|            0|            0|  0.00%|### Helpers for charmap-based codecs
  1047|         0|            0|            0|  0.00%|
  1048|         0|            0|            0|  0.00%|def make_identity_dict(rng):
  1049|         0|            0|            0|  0.00%|
  1050|         0|            0|            0|  0.00%|    """ make_identity_dict(rng) -> dict
  1051|         0|            0|            0|  0.00%|
  1052|         0|            0|            0|  0.00%|        Return a dictionary where elements of the rng sequence are
  1053|         0|            0|            0|  0.00%|        mapped to themselves.
  1054|         0|            0|            0|  0.00%|
  1055|         0|            0|            0|  0.00%|    """
  1056|         0|            0|            0|  0.00%|    return {i:i for i in rng}
  1057|         0|            0|            0|  0.00%|
  1058|         0|            0|            0|  0.00%|def make_encoding_map(decoding_map):
  1059|         0|            0|            0|  0.00%|
  1060|         0|            0|            0|  0.00%|    """ Creates an encoding map from a decoding map.
  1061|         0|            0|            0|  0.00%|
  1062|         0|            0|            0|  0.00%|        If a target mapping in the decoding map occurs multiple
  1063|         0|            0|            0|  0.00%|        times, then that target is mapped to None (undefined mapping),
  1064|         0|            0|            0|  0.00%|        causing an exception when encountered by the charmap codec
  1065|         0|            0|            0|  0.00%|        during translation.
  1066|         0|            0|            0|  0.00%|
  1067|         0|            0|            0|  0.00%|        One example where this happens is cp875.py which decodes
  1068|         0|            0|            0|  0.00%|        multiple character to \\u001a.
  1069|         0|            0|            0|  0.00%|
  1070|         0|            0|            0|  0.00%|    """
  1071|         0|            0|            0|  0.00%|    m = {}
  1072|         0|            0|            0|  0.00%|    for k,v in decoding_map.items():
  1073|         0|            0|            0|  0.00%|        if not v in m:
  1074|         0|            0|            0|  0.00%|            m[v] = k
  1075|         0|            0|            0|  0.00%|        else:
  1076|         0|            0|            0|  0.00%|            m[v] = None
  1077|         0|            0|            0|  0.00%|    return m
  1078|         0|            0|            0|  0.00%|
  1079|         0|            0|            0|  0.00%|### error handlers
  1080|         0|            0|            0|  0.00%|
  1081|         0|            0|            0|  0.00%|try:
  1082|         0|            0|            0|  0.00%|    strict_errors = lookup_error("strict")
  1083|         0|            0|            0|  0.00%|    ignore_errors = lookup_error("ignore")
  1084|         0|            0|            0|  0.00%|    replace_errors = lookup_error("replace")
  1085|         0|            0|            0|  0.00%|    xmlcharrefreplace_errors = lookup_error("xmlcharrefreplace")
  1086|         0|            0|            0|  0.00%|    backslashreplace_errors = lookup_error("backslashreplace")
  1087|         0|            0|            0|  0.00%|    namereplace_errors = lookup_error("namereplace")
  1088|         0|            0|            0|  0.00%|except LookupError:
  1089|         0|            0|            0|  0.00%|    # In --disable-unicode builds, these error handler are missing
  1090|         0|            0|            0|  0.00%|    strict_errors = None
  1091|         0|            0|            0|  0.00%|    ignore_errors = None
  1092|         0|            0|            0|  0.00%|    replace_errors = None
  1093|         0|            0|            0|  0.00%|    xmlcharrefreplace_errors = None
  1094|         0|            0|            0|  0.00%|    backslashreplace_errors = None
  1095|         0|            0|            0|  0.00%|    namereplace_errors = None
  1096|         0|            0|            0|  0.00%|
  1097|         0|            0|            0|  0.00%|# Tell modulefinder that using codecs probably needs the encodings
  1098|         0|            0|            0|  0.00%|# package
  1099|         0|            0|            0|  0.00%|_false = 0
  1100|         0|            0|            0|  0.00%|if _false:
  1101|         0|            0|            0|  0.00%|    import encodings
  1102|         0|            0|            0|  0.00%|
  1103|         0|            0|            0|  0.00%|### Tests
  1104|         0|            0|            0|  0.00%|
  1105|         0|            0|            0|  0.00%|if __name__ == '__main__':
  1106|         0|            0|            0|  0.00%|
  1107|         0|            0|            0|  0.00%|    # Make stdout translate Latin-1 output into UTF-8 output
  1108|         0|            0|            0|  0.00%|    sys.stdout = EncodedFile(sys.stdout, 'latin-1', 'utf-8')
  1109|         0|            0|            0|  0.00%|
  1110|         0|            0|            0|  0.00%|    # Have stdin translate Latin-1 input into UTF-8 input
  1111|         0|            0|            0|  0.00%|    sys.stdin = EncodedFile(sys.stdin, 'utf-8', 'latin-1')
File: C:\Python36-32\lib\encodings\cp1250.py
File duration: 0s (0.00%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         0|            0|            0|  0.00%|""" Python Character Mapping Codec cp1250 generated from 'MAPPINGS/VENDORS/MICSFT/WINDOWS/CP1250.TXT' with gencodec.py.
     2|         0|            0|            0|  0.00%|
     3|         0|            0|            0|  0.00%|"""#"
     4|         0|            0|            0|  0.00%|
     5|         0|            0|            0|  0.00%|import codecs
     6|         0|            0|            0|  0.00%|
     7|         0|            0|            0|  0.00%|### Codec APIs
     8|         0|            0|            0|  0.00%|
     9|         0|            0|            0|  0.00%|class Codec(codecs.Codec):
    10|         0|            0|            0|  0.00%|
    11|         0|            0|            0|  0.00%|    def encode(self,input,errors='strict'):
    12|         0|            0|            0|  0.00%|        return codecs.charmap_encode(input,errors,encoding_table)
    13|         0|            0|            0|  0.00%|
    14|         0|            0|            0|  0.00%|    def decode(self,input,errors='strict'):
    15|         0|            0|            0|  0.00%|        return codecs.charmap_decode(input,errors,decoding_table)
    16|         0|            0|            0|  0.00%|
    17|         0|            0|            0|  0.00%|class IncrementalEncoder(codecs.IncrementalEncoder):
    18|         0|            0|            0|  0.00%|    def encode(self, input, final=False):
    19|         0|            0|            0|  0.00%|        return codecs.charmap_encode(input,self.errors,encoding_table)[0]
    20|         0|            0|            0|  0.00%|
    21|         0|            0|            0|  0.00%|class IncrementalDecoder(codecs.IncrementalDecoder):
    22|         6|            0|            0|  0.00%|    def decode(self, input, final=False):
    23|         6|            0|            0|  0.00%|        return codecs.charmap_decode(input,self.errors,decoding_table)[0]
    24|         0|            0|            0|  0.00%|
    25|         0|            0|            0|  0.00%|class StreamWriter(Codec,codecs.StreamWriter):
    26|         0|            0|            0|  0.00%|    pass
    27|         0|            0|            0|  0.00%|
    28|         0|            0|            0|  0.00%|class StreamReader(Codec,codecs.StreamReader):
    29|         0|            0|            0|  0.00%|    pass
    30|         0|            0|            0|  0.00%|
    31|         0|            0|            0|  0.00%|### encodings module API
    32|         0|            0|            0|  0.00%|
    33|         0|            0|            0|  0.00%|def getregentry():
    34|         0|            0|            0|  0.00%|    return codecs.CodecInfo(
    35|         0|            0|            0|  0.00%|        name='cp1250',
    36|         0|            0|            0|  0.00%|        encode=Codec().encode,
    37|         0|            0|            0|  0.00%|        decode=Codec().decode,
    38|         0|            0|            0|  0.00%|        incrementalencoder=IncrementalEncoder,
    39|         0|            0|            0|  0.00%|        incrementaldecoder=IncrementalDecoder,
    40|         0|            0|            0|  0.00%|        streamreader=StreamReader,
    41|         0|            0|            0|  0.00%|        streamwriter=StreamWriter,
    42|         0|            0|            0|  0.00%|    )
    43|         0|            0|            0|  0.00%|
    44|         0|            0|            0|  0.00%|
    45|         0|            0|            0|  0.00%|### Decoding Table
    46|         0|            0|            0|  0.00%|
    47|         0|            0|            0|  0.00%|decoding_table = (
    48|         0|            0|            0|  0.00%|    '\x00'     #  0x00 -> NULL
    49|         0|            0|            0|  0.00%|    '\x01'     #  0x01 -> START OF HEADING
    50|         0|            0|            0|  0.00%|    '\x02'     #  0x02 -> START OF TEXT
    51|         0|            0|            0|  0.00%|    '\x03'     #  0x03 -> END OF TEXT
    52|         0|            0|            0|  0.00%|    '\x04'     #  0x04 -> END OF TRANSMISSION
    53|         0|            0|            0|  0.00%|    '\x05'     #  0x05 -> ENQUIRY
    54|         0|            0|            0|  0.00%|    '\x06'     #  0x06 -> ACKNOWLEDGE
    55|         0|            0|            0|  0.00%|    '\x07'     #  0x07 -> BELL
    56|         0|            0|            0|  0.00%|    '\x08'     #  0x08 -> BACKSPACE
    57|         0|            0|            0|  0.00%|    '\t'       #  0x09 -> HORIZONTAL TABULATION
    58|         0|            0|            0|  0.00%|    '\n'       #  0x0A -> LINE FEED
    59|         0|            0|            0|  0.00%|    '\x0b'     #  0x0B -> VERTICAL TABULATION
    60|         0|            0|            0|  0.00%|    '\x0c'     #  0x0C -> FORM FEED
    61|         0|            0|            0|  0.00%|    '\r'       #  0x0D -> CARRIAGE RETURN
    62|         0|            0|            0|  0.00%|    '\x0e'     #  0x0E -> SHIFT OUT
    63|         0|            0|            0|  0.00%|    '\x0f'     #  0x0F -> SHIFT IN
    64|         0|            0|            0|  0.00%|    '\x10'     #  0x10 -> DATA LINK ESCAPE
    65|         0|            0|            0|  0.00%|    '\x11'     #  0x11 -> DEVICE CONTROL ONE
    66|         0|            0|            0|  0.00%|    '\x12'     #  0x12 -> DEVICE CONTROL TWO
    67|         0|            0|            0|  0.00%|    '\x13'     #  0x13 -> DEVICE CONTROL THREE
    68|         0|            0|            0|  0.00%|    '\x14'     #  0x14 -> DEVICE CONTROL FOUR
    69|         0|            0|            0|  0.00%|    '\x15'     #  0x15 -> NEGATIVE ACKNOWLEDGE
    70|         0|            0|            0|  0.00%|    '\x16'     #  0x16 -> SYNCHRONOUS IDLE
    71|         0|            0|            0|  0.00%|    '\x17'     #  0x17 -> END OF TRANSMISSION BLOCK
    72|         0|            0|            0|  0.00%|    '\x18'     #  0x18 -> CANCEL
    73|         0|            0|            0|  0.00%|    '\x19'     #  0x19 -> END OF MEDIUM
    74|         0|            0|            0|  0.00%|    '\x1a'     #  0x1A -> SUBSTITUTE
    75|         0|            0|            0|  0.00%|    '\x1b'     #  0x1B -> ESCAPE
    76|         0|            0|            0|  0.00%|    '\x1c'     #  0x1C -> FILE SEPARATOR
    77|         0|            0|            0|  0.00%|    '\x1d'     #  0x1D -> GROUP SEPARATOR
    78|         0|            0|            0|  0.00%|    '\x1e'     #  0x1E -> RECORD SEPARATOR
    79|         0|            0|            0|  0.00%|    '\x1f'     #  0x1F -> UNIT SEPARATOR
    80|         0|            0|            0|  0.00%|    ' '        #  0x20 -> SPACE
    81|         0|            0|            0|  0.00%|    '!'        #  0x21 -> EXCLAMATION MARK
    82|         0|            0|            0|  0.00%|    '"'        #  0x22 -> QUOTATION MARK
    83|         0|            0|            0|  0.00%|    '#'        #  0x23 -> NUMBER SIGN
    84|         0|            0|            0|  0.00%|    '$'        #  0x24 -> DOLLAR SIGN
    85|         0|            0|            0|  0.00%|    '%'        #  0x25 -> PERCENT SIGN
    86|         0|            0|            0|  0.00%|    '&'        #  0x26 -> AMPERSAND
    87|         0|            0|            0|  0.00%|    "'"        #  0x27 -> APOSTROPHE
    88|         0|            0|            0|  0.00%|    '('        #  0x28 -> LEFT PARENTHESIS
    89|         0|            0|            0|  0.00%|    ')'        #  0x29 -> RIGHT PARENTHESIS
    90|         0|            0|            0|  0.00%|    '*'        #  0x2A -> ASTERISK
    91|         0|            0|            0|  0.00%|    '+'        #  0x2B -> PLUS SIGN
    92|         0|            0|            0|  0.00%|    ','        #  0x2C -> COMMA
    93|         0|            0|            0|  0.00%|    '-'        #  0x2D -> HYPHEN-MINUS
    94|         0|            0|            0|  0.00%|    '.'        #  0x2E -> FULL STOP
    95|         0|            0|            0|  0.00%|    '/'        #  0x2F -> SOLIDUS
    96|         0|            0|            0|  0.00%|    '0'        #  0x30 -> DIGIT ZERO
    97|         0|            0|            0|  0.00%|    '1'        #  0x31 -> DIGIT ONE
    98|         0|            0|            0|  0.00%|    '2'        #  0x32 -> DIGIT TWO
    99|         0|            0|            0|  0.00%|    '3'        #  0x33 -> DIGIT THREE
   100|         0|            0|            0|  0.00%|    '4'        #  0x34 -> DIGIT FOUR
   101|         0|            0|            0|  0.00%|    '5'        #  0x35 -> DIGIT FIVE
   102|         0|            0|            0|  0.00%|    '6'        #  0x36 -> DIGIT SIX
   103|         0|            0|            0|  0.00%|    '7'        #  0x37 -> DIGIT SEVEN
   104|         0|            0|            0|  0.00%|    '8'        #  0x38 -> DIGIT EIGHT
   105|         0|            0|            0|  0.00%|    '9'        #  0x39 -> DIGIT NINE
   106|         0|            0|            0|  0.00%|    ':'        #  0x3A -> COLON
   107|         0|            0|            0|  0.00%|    ';'        #  0x3B -> SEMICOLON
   108|         0|            0|            0|  0.00%|    '<'        #  0x3C -> LESS-THAN SIGN
   109|         0|            0|            0|  0.00%|    '='        #  0x3D -> EQUALS SIGN
   110|         0|            0|            0|  0.00%|    '>'        #  0x3E -> GREATER-THAN SIGN
   111|         0|            0|            0|  0.00%|    '?'        #  0x3F -> QUESTION MARK
   112|         0|            0|            0|  0.00%|    '@'        #  0x40 -> COMMERCIAL AT
   113|         0|            0|            0|  0.00%|    'A'        #  0x41 -> LATIN CAPITAL LETTER A
   114|         0|            0|            0|  0.00%|    'B'        #  0x42 -> LATIN CAPITAL LETTER B
   115|         0|            0|            0|  0.00%|    'C'        #  0x43 -> LATIN CAPITAL LETTER C
   116|         0|            0|            0|  0.00%|    'D'        #  0x44 -> LATIN CAPITAL LETTER D
   117|         0|            0|            0|  0.00%|    'E'        #  0x45 -> LATIN CAPITAL LETTER E
   118|         0|            0|            0|  0.00%|    'F'        #  0x46 -> LATIN CAPITAL LETTER F
   119|         0|            0|            0|  0.00%|    'G'        #  0x47 -> LATIN CAPITAL LETTER G
   120|         0|            0|            0|  0.00%|    'H'        #  0x48 -> LATIN CAPITAL LETTER H
   121|         0|            0|            0|  0.00%|    'I'        #  0x49 -> LATIN CAPITAL LETTER I
   122|         0|            0|            0|  0.00%|    'J'        #  0x4A -> LATIN CAPITAL LETTER J
   123|         0|            0|            0|  0.00%|    'K'        #  0x4B -> LATIN CAPITAL LETTER K
   124|         0|            0|            0|  0.00%|    'L'        #  0x4C -> LATIN CAPITAL LETTER L
   125|         0|            0|            0|  0.00%|    'M'        #  0x4D -> LATIN CAPITAL LETTER M
   126|         0|            0|            0|  0.00%|    'N'        #  0x4E -> LATIN CAPITAL LETTER N
   127|         0|            0|            0|  0.00%|    'O'        #  0x4F -> LATIN CAPITAL LETTER O
   128|         0|            0|            0|  0.00%|    'P'        #  0x50 -> LATIN CAPITAL LETTER P
   129|         0|            0|            0|  0.00%|    'Q'        #  0x51 -> LATIN CAPITAL LETTER Q
   130|         0|            0|            0|  0.00%|    'R'        #  0x52 -> LATIN CAPITAL LETTER R
   131|         0|            0|            0|  0.00%|    'S'        #  0x53 -> LATIN CAPITAL LETTER S
   132|         0|            0|            0|  0.00%|    'T'        #  0x54 -> LATIN CAPITAL LETTER T
   133|         0|            0|            0|  0.00%|    'U'        #  0x55 -> LATIN CAPITAL LETTER U
   134|         0|            0|            0|  0.00%|    'V'        #  0x56 -> LATIN CAPITAL LETTER V
   135|         0|            0|            0|  0.00%|    'W'        #  0x57 -> LATIN CAPITAL LETTER W
   136|         0|            0|            0|  0.00%|    'X'        #  0x58 -> LATIN CAPITAL LETTER X
   137|         0|            0|            0|  0.00%|    'Y'        #  0x59 -> LATIN CAPITAL LETTER Y
   138|         0|            0|            0|  0.00%|    'Z'        #  0x5A -> LATIN CAPITAL LETTER Z
   139|         0|            0|            0|  0.00%|    '['        #  0x5B -> LEFT SQUARE BRACKET
   140|         0|            0|            0|  0.00%|    '\\'       #  0x5C -> REVERSE SOLIDUS
   141|         0|            0|            0|  0.00%|    ']'        #  0x5D -> RIGHT SQUARE BRACKET
   142|         0|            0|            0|  0.00%|    '^'        #  0x5E -> CIRCUMFLEX ACCENT
   143|         0|            0|            0|  0.00%|    '_'        #  0x5F -> LOW LINE
   144|         0|            0|            0|  0.00%|    '`'        #  0x60 -> GRAVE ACCENT
   145|         0|            0|            0|  0.00%|    'a'        #  0x61 -> LATIN SMALL LETTER A
   146|         0|            0|            0|  0.00%|    'b'        #  0x62 -> LATIN SMALL LETTER B
   147|         0|            0|            0|  0.00%|    'c'        #  0x63 -> LATIN SMALL LETTER C
   148|         0|            0|            0|  0.00%|    'd'        #  0x64 -> LATIN SMALL LETTER D
   149|         0|            0|            0|  0.00%|    'e'        #  0x65 -> LATIN SMALL LETTER E
   150|         0|            0|            0|  0.00%|    'f'        #  0x66 -> LATIN SMALL LETTER F
